,levels,time,decibels
90,0.0345342093329,2017-04-09 19:47:03,-29.2350096559
91,0.0301302620503,2017-04-09 19:47:04,-30.4199418229
92,0.032663173895,2017-04-09 19:47:05,-29.7188323393
93,0.0320502492456,2017-04-09 19:47:06,-29.883371775
94,0.0278039442752,2017-04-09 19:47:07,-31.1178718115
95,0.0247448046976,2017-04-09 19:47:08,-32.1303193916
96,0.0312291940953,2017-04-09 19:47:09,-30.1087844617
97,0.0366812495289,2017-04-09 19:47:10,-28.7111175744
98,0.0364289092292,2017-04-09 19:47:11,-28.7710766481
99,0.0392387551845,2017-04-09 19:47:12,-28.1256955738
100,0.0339783183309,2017-04-09 19:47:13,-29.3759623844
101,0.019940940048,2017-04-09 19:47:14,-34.005087444
102,0.0250327630122,2017-04-09 19:47:15,-32.0298242426
103,0.0230754451494,2017-04-09 19:47:16,-32.7369982446
104,0.0241392145271,2017-04-09 19:47:17,-32.3455373129
105,0.0362587523062,2017-04-09 19:47:18,-28.8117428883
106,0.0298108684304,2017-04-09 19:47:19,-30.5125074441
107,0.0303217676298,2017-04-09 19:47:20,-30.3649096957
108,0.0253797253787,2017-04-09 19:47:21,-31.91026163
109,0.0170787517473,2017-04-09 19:47:22,-35.3508774845
110,0.0160101061185,2017-04-09 19:47:23,-35.9121157894
111,0.0174285344336,2017-04-09 19:47:24,-35.174782624
112,0.0181137606949,2017-04-09 19:47:25,-34.8398274824
113,0.0151209485486,2017-04-09 19:47:26,-36.4084192872
114,0.017218153029,2017-04-09 19:47:27,-35.2802687328
115,0.0260158629219,2017-04-09 19:47:28,-31.6952352877
116,0.0417809623734,2017-04-09 19:47:29,-27.580431216
117,0.0357058638286,2017-04-09 19:47:30,-28.9452091123
118,0.0109815872331,2017-04-09 19:47:31,-39.1866976845
119,0.0234434370021,2017-04-09 19:47:32,-32.5995743363
120,0.0324176223468,2017-04-09 19:47:33,-29.7843768283
121,0.0371686207673,2017-04-09 19:47:34,-28.5964710833
122,0.0298783832904,2017-04-09 19:47:35,-30.4928581151
123,0.023084952219,2017-04-09 19:47:36,-32.7334204002
124,0.0231229968777,2017-04-09 19:47:37,-32.7191175892
125,0.0163009970993,2017-04-09 19:47:38,-35.7557165972
126,0.0221309530434,2017-04-09 19:47:39,-33.0999976658
127,0.00811335612272,2017-04-09 19:47:40,-41.8159892189
128,0.0160324895975,2017-04-09 19:47:41,-35.899980664
129,0.0193903704275,2017-04-09 19:47:42,-34.2482778843
130,0.00790912111155,2017-04-09 19:47:43,-42.037435482
131,0.0648811875745,2017-04-09 19:47:44,-23.7576241894
132,0.0177656740681,2017-04-09 19:47:45,-35.0083661958
133,0.0311655587033,2017-04-09 19:47:46,-30.1265016626
134,0.0199434666354,2017-04-09 19:47:47,-34.0039869809
135,0.0273817561769,2017-04-09 19:47:48,-31.2507740214
136,0.0265865850667,2017-04-09 19:47:49,-31.5067488471
137,0.0118874297601,2017-04-09 19:47:50,-38.4982407237
138,0.0109907352679,2017-04-09 19:47:51,-39.1794650558
139,0.0107291492197,2017-04-09 19:47:52,-39.388694291
140,0.00666514539009,2017-04-09 19:47:53,-43.5238074534
141,0.00857295047398,2017-04-09 19:47:54,-41.3373937038
142,0.00805828800643,2017-04-09 19:47:55,-41.8751442962
143,0.0071911522978,2017-04-09 19:47:56,-42.8640302689
144,0.00767626598629,2017-04-09 19:47:57,-42.2969997033
145,0.0123065243638,2017-04-09 19:47:58,-38.1972916835
146,0.0101679112135,2017-04-09 19:47:59,-39.8553650942
147,0.00862080157525,2017-04-09 19:48:00,-41.2890470187
148,0.00762721986937,2017-04-09 19:48:01,-42.352674681
149,0.00739584713969,2017-04-09 19:48:02,-42.6202414718
150,0.0106920903029,2017-04-09 19:48:03,-39.418747639
151,0.00854850143727,2017-04-09 19:48:04,-41.362200219
152,0.00971047444518,2017-04-09 19:48:05,-40.2551910066
153,0.0134801916318,2017-04-09 19:48:06,-37.4060786782
154,0.0131349933815,2017-04-09 19:48:07,-37.6314028343
155,0.0111499684225,2017-04-09 19:48:08,-39.0545272513
